reviewer,stars,title,review,date
Andrew,4,Not as revelatory as you'd think,"Not as revelatory as you'd think. It takes lots of actual practice to master something. It also takes opportunities that are not in our control. So basically, Gladwell is trying to prove Calvinism (hard work + predestination). Pinpointing the web of circumstances that leads to success is something that we obsess over as a culture and Gladwell provides a very interesting analysis of how this works. But I do not feel like I heard any revelations here that I did not learn from my father when he encouraged me to get internships as an undergraduate.",2011-11-28
S Prabhu,5,Excellent book; well adapted for the audio format,Excellent book; well adapted for the audio format. Unusual take on a topic that is taken for granted. The author's voice enhances the message-highly recommended audiobook-perhaps my best book of the year!,2008-12-27
UX1,3,"Too many examples, not enough ideas...",,2012-04-11
Ben,1,Leftism supported by cherry-picked data and bias,"Leftism supported by cherry-picked data and bias. Gladwell's central theme is the notion of the correlation between diligence, hard work and success is mistaken. He uses various examples of elite success and attributes the outcome to competative or situational advantages. He however dismisses the fact that in every example both advantage and personal perserverance, hard work and above average work ethic are clearly present. Gladwell would have done a better job to conclude that his outliers are borne of both advantage and excellence combined rather than allow personal bias to blind himself to half of his own book.",2019-02-05
Margaret,5,Very good parenting book,"Very good parenting book. This is a very good book in the same way Freaknomics was a very good economics book.  It goes beyond the myths of how to become successful.  If you have young kids, it is also a very good parenting book, on what you should be aware of to give your kids the best chance to succeed.",2009-05-12
Roy,5,An Eye Opener,"An Eye Opener. This book describes why some individuals seem to excell and others do not. Every chapter takes on a different group and explain what has led to their success.  The analysis is so interesting particularly when the reader realizes what has been going on right before his/her eyes.  The chapter on Canadian Hockey Players leaves the listener wondering ""why didn't I see that?"" The section on when children should start to Kindergarten is helpful as well. I subscribe to Audible to be informed about areas foreign to me.  This book is one I am glad I didn't miss.  The reading is great, the audio clear, the content easy to follow.",2009-02-28
Stephen,4,Are you and outlier?  How did you become one?,"Are you and outlier?  How did you become one?. The outliers in this book are people who have either succeeded or failed beyond expectation.  Besides intelligence, what other factors make people extremely successful?  Some of the questions that are posed and answered are:",2009-03-18
Rob,3,Proof Through Anecdote?,Proof Through Anecdote?. I always enjoy Malcolm Gladwell's work whether it be in book form or the short pieces he does for The New Yorker - but I can't help thinking that he's becoming the era's Proof By Anecdote expert.  'Outliers' is interesting but perhaps more formulaic than it ought to be.,2009-08-14
Eliana,3,Mildly Disappointing,"Mildly Disappointing. I really enjoy Gladwell's articles for The New Yorker, and I've read his other two books, but in this one I found the evidence he presents for his ""thesis"" to be flimsy at best.  It's posing as science, but awash in anecdotal evidence. I had a hard time taking it seriously after a while. I would not recommend to a friend except in excerpts.",2009-01-17
Michael,5,Excellent!,"Excellent!. Gladwell is a fine writer and this book, in the same style as Blink, explores the real factors that contribute to the success of those we think are so above and beyond us (Bill Gates, the Beatles, etc.).  Gladwell makes it clear that their talent, drive, energy, and intelligence WERE key to their success but that these, alone, would not have done it for them.  They needed unusual opportunities. In fact, the opportunities given them that were not given others were as important to their achievements as their personal qualities.  This book helps reduce the ""superstars"" down to human level.  If you had been given the opportunities these were, you might have achieved what they did or more!",2009-03-08
A. Yoshida,5,Classic Book,"Classic Book. Even after reading this book a second time years later, the content is still original and entertaining. We often think that outliers (those special, exceptional people) are disciplined, self-made successful people. That is not the case. It is the environment, support system, and other factors that can make an ordinary person into an extraordinary person. I recommend skipping chapters 6 and 7 about family feuds in the Appalachian and South Korean airplane crashes and coming back to at the end. Those chapters demonstrate how culture can be a detriment to a person's success.",2020-04-19
Terrance  Ferguson,5,Perspective,,2016-02-01
DevynnBohn,1,BOREDOM IN 7 HOURS,,2015-01-24
Michael Carrato,5,I enjoy Gladwell's writings,"I enjoy Gladwell's writings. I know there are some who are critical of Gladwell for glossing over facts and oversimplifying conclusions, but I have enough of a brain to be able to draw my own conclusions, some of which differ from Gladwell.",2011-04-04
funkevin,4,Very thought provoking.,Very thought provoking.. This book caused me to re-evaluate my perceptions of success and how it is achieved. It is a great listen for parents of young children since parents can have a major influence on many of the contributing factors of success that are mentioned in this book. Enjoyable on many levels.,2010-01-25
Thomas Nedreberg,5,Taking the mystery out of Outliers,"Taking the mystery out of Outliers. I've seen Malcom Gladwell speak twice and read both ""Tipping Point"" and ""Blink,"" which I really enjoyed but ""Outliers"" is his crowning work. The book is written in an organized way yet displays profound out the box thinking. Many of us like to think of our heros as truely exceptional people but Mr. Gladwell shows us in his book that many times it's taking what's been given to us, practicing, and being in the right place at the right time. I enjoyed the entire book but what most impressed me was his personal tale about himself, his mother, and grandmother and how being an Outlier has more to do with what went before us then what we actually were able to do ourselves. I liked how the book made me think about how even if I wasn't an Outlier that by me  providing opportunities as a teacher or a parent that I may help a future Outlier.",2009-11-09
Sierra Bravo,4,Some interesting thoughts to ponder,"Some interesting thoughts to ponder. This is a well-written book that brings up some important things to think about.  Gladwell's conclusion that you need to be lucky as well smart and hardworking to be hugely successful is probably true.  To get really far out on the bell curve you need for everything to go right, or wrong, depending on which side of the curve.  Still it is dangerous to draw too many conclusions from extreme outliers, at least when dealing with a standard bell curve.  If you are interested in what makes rich people rich read ""The Millionaire Next Door"", it deals with the more applicable part of the curve for most of us.  Drawing conclusions from relatively few data points is always risky but Gladwell shows clearly the a small head start can get you far ahead.",2009-06-24
Qasim Mohammad,4,A Must Listen!,A Must Listen!. I read a piece on Malcom Gladwell's book in fortune and decided to listen to it. I got hooked to it right away.,2008-12-07
Dylan,4,Intriguing concepts,"Intriguing concepts. Well thought-out book, written in a flowing and entertaining way, well read by the author... even if you don't 100% agree with everything said, you will find much value here!!",2008-11-30
J. Reichel,5,PLEASE READ THIS BOOK!,"PLEASE READ THIS BOOK!. This book is a must read for every educator, administrator, politician, or parent.",2009-05-28
Kathy,5,Why Wasn't I Born in January?,"Why Wasn't I Born in January?. I loved this book!  There is a reason I'm not a terrific ice hockey player (other than I can barely stand up on skates).  I was born in the wrong month.  Who knew?  I was hooked from the first sentence to the last.  It is very reassuring to know that people who have changed the world we live in are maybe not that different from any of us, but were instead at the right place at the right time.  This book will make us all want to go out and change our educational system, look at what country the pilot of our plane grew up in and marvel that our Scottish ancestors took time out from their  violent inclinations to have kids.  Malcolm Gladwell has a gift for taking on topics that I have not found that interesting and turning them into mind twisters that delight.  If he will now explain our economy we would all be better of for it!",2009-03-28
Jay Coulter,1,Liberal Propaganda,,2013-09-18
Kitty,1,Statistical Stupidity,"Statistical Stupidity. In a culture of conformity, it doesn't take a rocket scientist or even a statistician to predict that success is predicated on an individual's environment.  This is not a book about outliers.  It is a statistical substitution of social determinism for true accomplishment.",2013-03-19
Koh Bock Huat,2,Not Convince By His Reasoning,"Not Convince By His Reasoning. After many rave reviews, I expected to enjoy the book but I didn't. I thought the point that success is factored upon opportunity and having the support of influential ppl was obvious. And you don't need a scientific research to figure that out or there is a need to proof it. However, I think he forgot that opportunities can be pursued and not brought to you and that's one major factor of successful ppl. In some cases, opportunities is a greater factor while in some cases the personal drive plays a greater role. I still feel it cannot be generalized.",2009-12-29
Gohar,4,A new perspective to success,A new perspective to success. This book talks about successful people and how everything around them helped them get there. There were a few chapters that were stretched just to make a point. Certain chapters like the first one where the author keeps on talking about hockey players born in January was very slow and boring. but the latter ones with software entrepreneurs was very interesting. Malcolm Gladwell doesn't say anything new here except for the fact that every individual needs to work hard and practice makes perfect. The only difference here is the amount of research the author has gathered is remarkable and many of his facts and researches prove a point. The epilogue chapter was completely unrequired. I gave a 4 rating beacuse of those certain unrequired chapters. Great research and a good book to read once.,2009-05-19
Erfan Reed,1,Biggest Pile of BS since The Secret,"Biggest Pile of BS since The Secret. I 100% disagree with all the concusions made in this book, my personal life is a good example of how I made it in life to stay above the average and it is 100% opposite of what this BS of a book suggests.",2013-08-25
DeFoe,1,Simply a terrible book,"Simply a terrible book. The reasoning in this book was very thin.  Gladwell takes a few anecdotal examples and builds a tremendously over-simplified theory of success.  For example, he pontificates that the Beatles were successful because they had played long hours in a Homburg club, as if that were the only factor to their success.  I found the book cloying and I really sorry I wasted my money on it.",2012-01-07
Ron,3,Fair enough,"Fair enough. I can see why a lot of people can take good things from this book and apply them to their personal situation. But for me, this book didn't reveal anything new and spectacular. It made some fairly interesting and relevant observations and provided proof to support theories well enough. But there was a lot of repetition which always goes against the validity of an argument. And the main concepts of the thesis were fairly obvious, no real innovations. But I did learn a fair bit of History and Biographies. This book didn't change my life but it was an interesting read. And the fact that the author narrated really helped him drag the point across.",2009-06-24
Ana Maria,5,outliers,outliers. truly one of the best audio books of the year,2008-11-28
Michele Freed,5,Different take on phenoms.,"Different take on phenoms.. Loved it.   It reminds me of how Paul Harvey used to tell us the ""rest of the story"",  as does most of Malcolm Gladwell's work.  I love listening to it and  really appreciate his insight.",2022-02-22
L Coulter,5,Outstanding!,Outstanding!. Another outstanding work by Mr. Gladwell. I learn so much from the information he presents and look more analytically at historical events. Well worth your time,2022-02-21
Mac,3,Good but wrong about science,"Good but wrong about science. Gladwell writes an interesting book here and he is certainly brings forth many interesting stories and examples of environmental influences on kid's outcomes.  I think he overplays his hand a bit and ignores much of what biological science say about theses things.  For example Asian kids being better at math, well they are still better at math even when they are raised in or adopted into another culture or country.  Maybe rice farming did make them better at math, but this characteristic goes beyond mere culture because you can remove culture and it still remains.  The same goes for much of the other topics in the book.  There's a bit of liberal fantasy about the whole thing, like Gladwell wishes the world were a certain way and then just starts pretending it is as he wishes, regardless of contrary evidence.",2021-03-04
Sara Arbel,5,One of the best,One of the best. Very in-depth research delivered in a fascinating descriptive style of story telling. Thank you.,2020-11-11
Anonymous User,5,Simple Yet Complex,"Simple Yet Complex. This was my 1st Malcolm Gladwell AudioBook, I also read along w/ a copy of the book.  The examples used are golden in how they intertwine lessons about culture, environment, & oppurtunities given.  This is a must read for any (young or old) entrepreneur or someone wanting to understand how someone comes to bestow the chances at success. Thank you Malcolm Gladwell!",2020-11-10
Steven Schwab,5,Read This If You Want To Improve Yourself,"Read This If You Want To Improve Yourself. Super engaging, no boring chapters. Seriously, you won't regret the 7 1/2 hrs this book takes.",2020-11-10
Kate Swift,5,Debunking the myth of rugged individualism.,"Debunking the myth of rugged individualism.. An insightful look into the social, societal, cultural, familial, economic and other factors that allow (yes allow) an individual to suceed. Hard work alone is not enough but needs opportunity provided by by the aforementioned factors. Everyone who believes that the super-rich attained their fortune on their merit alone should read this book.",2020-11-08
Jamesekoller,5,Quality Gladwell,"Quality Gladwell. If you are familiar with Malcome Gladwell's pod cast, Revisionist History, this is the long form.  Outliers is engaging, fascinating, compelling and deeply thought provoking.  I will be listening to it again to catch the points I may have missed and clarify my own thoughts about the ideas and dense research presented.",2020-11-07
Anonymous User,5,New perspective on success,New perspective on success. This book was recommended by someone on YouTube and I was happy to listen to it narrated by the author himself. I liked most of the ideas in the book.,2020-11-05
Chris,5,I really liked it.,I really liked it.. I enjoy Malcolm Gladwell. He always has a different point of view that really challenges my way of thinking. this book was no different. The book does really emphasize hard work and practice as being extremely important to achieve anything. My only concern is with the wrong mindset this book could validate those who make excuses as to why they could never accomplish anything worthwhile.,2020-11-02
John Thomas,5,Earth shattering book,"Earth shattering book. This book has done more than any other to change my perspective. Has made me realize that as part of society my role is to make sure that no matter how small I may think a chance is, it should be doled out as much as possible as it’s impact can be so much greater. Thank you Malcolm",2020-06-29
Fausto Cepeda,2,Not what I expected,"Not what I expected. So, it seems that people that have success were just in the right moment, raised by the right family and were born at the appropriate time. Even the mother of the author. I can agree in some of the points made by the author; yes, those people were in certain circumstances that they took advantage of and bum! Success was the consequence. So, if you just want to hear the stories of these people and what circumstances surrounded them to be successful then go ahead and buy the book. But, and here is a breaking point, if you want to learn something of these stories to apply it to your own life and maybe also be successful, then that’s another different story, the book won’t provide it to you so easily. You have to interpret it. My interpretation is that you have to be aware of your own “circumstances”, your strengths and your advantages that life provides you, and you have to be able to take advantage of them. That’s it. If you are blind to those advantages or circumstances that you have, then you won’t catch them and you won’t be successful or don’t as successful as you could be. So open your eyes. Be aware and know what time you are living, and “see” what you have in your favor. I am not sure that Bill Gates or Steve Jobs were aware or what they have in their hands and they consciously took advantage at that time…maybe after 30 years they were able to see it, but well, that’s another discussion.",2019-11-28
Gavin L. Johnston,1,Amateur.,"Amateur.. Gladwell uses common knowledge to appeal to the lowest common denominator. He's the Disney knockoff of academia, the DC movies to the Marvel",2019-11-13
Gary Hunt,5,Stories Stick,Stories Stick. this stories stuck with me and I I'm able to share them with others. learned a lot about those who became outstanding and the lessons seem applicable.,2019-09-28
L. Learish,3,Underachievers will like this book,"Underachievers will like this book. This is an interesting counter narrative to the often told success story of the individual who rises to greatness despite hardships.  The author suggests success is less about individualism and more about being in the right place at the right time.  There are a lot of interesting antecdotes which support this thesis.  But as someone who has indeed become successful because of hard work, I somehow came away from this book feeling diminished.",2019-07-31
Jim,1,Fiction,"Fiction. The ""Story"" of Success is a good title.  There is a great deal of ""storytelling"" done in the book. Mr. Gladwell attempts to strictly correlate success and circumstance.  If you weren't born at the right time, or if you did not have unfettered access to some new whiz bang phenomenon or if you didn't have the right heritage or the right group of friends, than the mediocrity of your performance is not your fault.  A grand example of when correlation does not equal causation.",2019-05-10
Alex Lombardi,2,The autgot misses what his own data shows him,"The autgot misses what his own data shows him. In my own personal experience, people that work really hard - not his pay lip service to it - are the rarest thing in our western society. While nobody denies that timing and place are critical, hard work is the difference. Leonardo Davincci conceived of the idea of a helicopter, but could not build one because he was so ahead of his time. Yet he would never have gone there except for his indomnitable spirit and hard work.",2019-02-10
Patrick Widdoss,3,Fact or Fiction?,Fact or Fiction?. Gladwell’s great writing ability does a good job of passing off his opinions as facts.,2019-02-09
Leauwa,1,Dissapointed,,2017-12-02
Rock you like a Weezycane,5,"the 10,000 hour rule...","the 10,000 hour rule.... 10,000 hour rule; a person must love a ""profession"" so much to have that many hours by adulthood. it's baffling to love something that much. a parent who would push a kid to that many hours of practice would make a kid hate a subject, or so it seems.. these are a special breed, hence the title, ""outliers"". Malcolm Gladwell is one of my favorite authors and I recommend any books of his that you can get your hooves on....",2017-03-13
J. Costanzo,3,Not a self-help book,"Not a self-help book. Story jumped from random study to random study, without cohesive thought. The conclusion wise you are a product of your environment and experiences, Plus the work you put into it. Nothing really tangible that you could grab a hold of to make you a better person.definitely not a self-help book.",2015-04-13
Darcie Leib,4,Read it with a grain of salt,"Read it with a grain of salt. I disagree with some of his conclusions, however, it's a leap forward from the mentality most people possess. So I would suggest someone to read/listen to it but with the mindset that it's probably not 100% truths.",2015-03-31
Jeremy L Vick,2,Interesting,"Interesting. I felt the book was really well written and very interesting.  However, I felt that it was based on anecdotal evidence without a tremendous amount of evidentiary substance.",2015-03-05
Tasha,2,Why is this a best seller?,"Why is this a best seller?. I don't see how Gladwell has told us anything new. It's a collection of stories of how individuals with successful lives made it because of their connections, upbringing, financial status or the like. Each story paints the same picture which could be summed up in a short paragraph: success is arbitrary and just because you work hard doesn't mean you'll have it happen to you.",2015-03-04
MomOfTwo,3,Depends on your worldview.,"Depends on your worldview.. Malcolm is very smart and his voice is perfect and clear. I was just hoping to learn about success and learn something that would help me be better. Success is a combination if many things. He puts more emphasis on luck of the cultural draw as a factor in, whereas I put more emphasis on the hard work one does. I was distracted by how much I disagree with him.",2015-02-28
Alex Petrilli,1,I just waisted 7 hours!,,2015-01-18
Amazon Customer,2,Summary: Success does not happen in a vacuum,"Summary: Success does not happen in a vacuum. If you are under the impression that all successful people have gotten to where they are by their own merits alone,  then this book may hold some insights for you. If not,  you will find nothing but obvious truths and cherry-picked anecdotes presented as unscientific evidence that all success comes directly from external opportunity with complete downplay of personal efforts. The tracked on interview at the end underscores this unfounded view.  The one high note was an interesting examination of the correlation between month of birth and success in professional hockey.",2015-01-04
Cori,3,Interesting but Flawed,"Interesting but Flawed. A thought provoking book though after a little research I found a lot of the examples used to back up his ideas lacking. Still, it helps shape your thinking but I feel Malcolm is a far better marketeer than he is a thinker - similar to Seth Godin in that respect.",2014-12-22
HELOISE,3,Meh--Gladwell's Books are Over-rated,,2014-11-10
Charles,3,Disappointed,"Disappointed. Throughout the book, the author uses narratives of several famous Individuals to generalize to the population. In effect, he attempts to validate his perspective with scattered anecdotal evidence. I found this somewhat misrepresentative during the progression of the book and then it all made sense listening to the interview at the end.  The author purposefully planned the book as an ""assault on rugged individualism""--his description.  He appears to do this to advance some sociopolitical perspective (again, listen to the interview). Sure, circumstances and opportunity play a role in all our lives, not only the rich or famous.  The hockey team story is way overblown. Could 6 more months of physical and emotional maturity make a difference in adolescent athletes? Sure, but are not most sophomore athletes better than their freshman year? Yes, it is simply development, practice, and competitive play. That some are denied opportunity because of these factors and it is unfair is nonsense. The author also seems to discount all the other intra-individual characteristics that could be significant factors in the courses of these lives and the outcomes of the stories. If you have ever made something out of nothing by virtue of your determination, had insights and developed some innovative project, or creatively solved a dilemma, you may not like this book. According to the author's perspective, you just got lucky and then anyone could have done the rest. He magnifies one factor in the equation disproportionally and minimizes the other contributors. I enjoyed Blink, but he's off target here.  These are interesting stories, which is why I suspect so many people rate the book so highly.  Anecdotes do not equal evidence.",2014-11-07
Willy Strohmeier,2,If you want to be motivated - This is NOT it,,2014-10-22
Chris,2,You Only Need to Listen to The Sample,,2014-08-01
M.,2,"good story, painful to listen to tho",,2014-07-17
Nikolai Slavov,3,Brilliant writing of weak and overstated analysis,,2013-12-29
Oskar,3,"solid, but not completely accurate",,2013-10-11
Ryan,3,interesting but not enough,interesting but not enough. Interesting information but I got bored of it halfway through. Probably just not my cup of tea.,2013-09-29
Daniel,4,Statistical Anomalies Galore,,2013-04-29
Danielle,2,Review,"Review. Success seemed to be defined by wealth and status. To me success can also be how well you meet your goals, relative improvement in living standard (i.e. moving from poverty to middle class), or even contribution to society. This book wasn't for me.",2013-03-23
Juan,3,"""Engaging, but overrated""",,2013-02-20
Jeff Harris,3,A Dramatic Statement of the Somewhat Obvious,"A Dramatic Statement of the Somewhat Obvious. This book came highly recommended from a few friends and coworkers as a thought-provoking and almost groundbreaking book about what makes the outliers of society so successful. A big part of the book emphasizes that the rags to riches story is more the result of being given the right opportunity at the right time. When you stop and think about how someone like Bill Gates became so successful, you know that he had to have everything in his life line up. There are thousands of cases of people who are very smart but just don't have the opportunity to succeed and become extremely wealthy. While Gladwell does bring up some good examples to support his main thesis, he often over simplifies things with statements like in order to become a great hockey player you have to be born in January. The reasoning makes sense, but it throws out any other variable that may come into play and it seems like he almost wants to discredit an individual's drive and natural ability.",2013-01-30
Christopher,3,It was ok,,2013-01-07
Sabine,4,Interesting,"Interesting. ...if you like statistics and stories, which Malcom Gladwell is famous for. But I would have appreciated a bit more ""how to"" than just the stories. Some good stuff though. I see a lot of my daughter and how she handles my grandson in the pages. Good for her! She must have picked up a lot from this long time ago because he is an Outlier. :)",2012-10-29
Gary,4,The sin of self regard,"The sin of self regard. The subtitle could have been ""The Sin of Self Regard"".  Much of who we are consist of factors completely out of our control, birth month, birth year, ethnic background and other such items.  Gladwell is an expert at explaining a theme by using anecdotal stories and explaining the results by looking at the story from a different perspective.",2012-07-05
Sivashankaran,5,Loved it!!,,2012-03-05
Michael,4,Great Listen with Thoughtful Ideas,,2012-02-08
Prof Johan Buitendag,4,Success stories,,2012-01-09
gertjan,4,Great insight but could have been 80% shorter,Great insight but could have been 80% shorter. First  two hours or so filled me with wonder a very different view on the world. Really gripping and interesting however the next five are rather disappointing. Kept listing because I had a fever and absolutely nothing else to do... Especially fifth word by word analysis of a  rather uninteresting cockpit discussion (ten minutes each) was fatal. Only a rather slow four year old would not have gotten the point after the first two. However would buy for first few hours. Overall style of writing is good and narrator is enjoyable.,2011-11-23
MW,4,Good read but colored with author's viewpoint,Good read but colored with author's viewpoint. This book is a good read and shines an interesting perspective on how people become successful. However it's also obvious that the author is using data to make points that align with his viewpoint without casting light on the whole story.,2011-11-08
Abhi Mahule,4,Insight into the reasons of success and failures,Insight into the reasons of success and failures. All star hockey players' birth dates show a rare recurring phenomenon;,2011-08-12
Sonia,1,Save your money!,Save your money!. Thought this book was boring and did not make sense. Birthdays and Cultural backgrounds? I feel if there is anything we learned about success it is that men and women have been able to achieve what they wanted despite their cultural backgrounds and upbringings. Stick to the Laws of Success and having a chief aim to what you want.,2011-07-10
Alex,5,True page-turner,"True page-turner. I don't completely agree with the author's conclusion that outliers are solely the product of their environment, but this book was fascinating and a very engaging read. I highly recommend this book as it contains many interesting anecdotes and factoids as well as interesting ways of looking at the world around us.",2011-06-01
Randy,1,Outliers: The Story of Success,"Outliers: The Story of Success. It is decent, it sometimes describes things way too much and goes way too much into detail",2011-05-12
Carla,5,Fascinating,Fascinating. Malcolm Gladwell is really an extraordinary storyteller.  I found this book to be fascinating and nearly impossible to put down.  Overall I agree with his thesis (that becoming a great success is dependent on many external circumstances in addition to exceptional drive/talent/etc) but more than anything I found the stories he used about the garment industry/Jamaica/Jewish lawyers in New York/etc to be incredibly interesting and educational.  I could listen to one Gladwell book after the other.,2011-04-19
Adam Evans,4,Interesting,"Interesting. Yep. I enjoyed the book and thought it was a good listen. I was expecting some new information, not more of the same ""successful people are successful because of their circumstances in life."" I was hoping to learn something about what sets outliers apart from other people who were born into similar circumstances and never become successful.  It didn't serve the purpose that I was hoping it would.",2011-04-06
Brady,5,Eye opener,Eye opener. This book was an eye opener for me.  I found it both fascinating as well as practical - especially for parents with young kids (4 to 10 years of age).,2011-02-12
Vishal,3,Interesting....,"Interesting..... This was an interesting book to listen to. I found it shocking how Bill Joy, Bill Gates, and Steve Jobs were all born months apart.  However, I did like Malcolm Gladwell's book Blink a lot better.  I still would recommend this book to other readers because it does have interesting discoveries.  Like the birthday example.",2010-06-30
Michael,4,dry but good,"dry but good. This book was informative and somewhat entertaining but a bit wordy and exhaustive in supplemental information to frame any given example. That said, the book was good and I did get a lot out of it.",2010-04-12
Cameron,3,Worth Thinking About,"Worth Thinking About. Gladwell brings up many interesting trends and behaviors of different people and groups of people.  He then uses these trends to try to justify an altruistic philosophy that will make us all better.  At times, I wondered if the author was promoting outright socialism to fix out society.",2010-01-01
Xavier,3,Interesting as usual,"Interesting as usual. Gladwell always delivers a well thought out thesis, impeccable research and interesting details.  Just did not agree with the conclusions he presents in the epilogue.  To me his book proves just the opposite of his conclusins.",2009-12-24
Khaled Ahmed,5,Yet another great book from a great author,Yet another great book from a great author. Intellectually stimulating book that is a joy to read or listen to.,2009-12-24
Alis,5,Exceptional,"Exceptional. Gladwell is always inspiring, and to my mind Outliers is his best book yet. Also, I've had the very pleasant surprise to discover Gladwell's qualities as a narrator too. It was a wonderful experience listening to this book, I didn't get bored for a minute. I highly recommend it to all!",2009-12-18
Arnold,3,Just OK,"Just OK. The thesis is redundantly applied to every occurrence as a universal law of the universe. I rather think Gladwell fit  selected historical events to the theorem....thus a tight fit. In general I thought it interesting but a ""so so"" audio book. It would not be a waste of your time to listen to the Outliers.",2009-12-13
Mehdi Muntazir,3,A good read...,A good read.... In short this book is about the role of opportunity in success. As in the words of author this book is about the forest not the tree.No or little emphasis is attributes to personal effort and passion. Overall an interesting analysis. I enjoyed most part of the book.,2009-11-15
Shannon,4,interesting,"interesting. Interesting, as all his writing has been.",2009-10-26
Melody,3,Interesting ideas,"Interesting ideas. This audio book is popular, however, I didn't love it like everyone else. I liked some of the stories and ideas, yet it was rather long and dragged towards the end. There is an interview with the author after the audio book is finished, which I felt helped summarize the book.",2009-10-05
wolflover,3,Good listen,Good listen. Liked it...food for thought...Liked the authors voice and although it gets a little lengthy the message was worth it.,2009-08-29
Terry,4,Great Listen though no practical advice.,"Great Listen though no practical advice.. Malcolm's books are always thought provoking and out there.  I found this one so inspirational, that the second time I listened to it, I made my 14 yr old daughter listen to it.  She found it facinating and I heard her talking about parts of it to her friends.",2009-08-11
Frank,3,Interesting read,"Interesting read. As any book written by a former journalist it is peppered with sensationalism.  Whilst much of the book was interesting and readable, as a researcher I found some of his findings questionable at best.  And like any good journalist he focuses on sensationalizing.",2009-06-11
Blake,2,Gladwell's least impressive work,Gladwell's least impressive work. Tipping point was amazing. Blink was really great. Outliers is... an interesting collection of information without a lot of practical use and application - especially when you justapose this work with his other books.,2009-05-27
