reviewer,stars,title,review,date,country
daud bhatti,5,Not what I expected but a great read!,"Not what I expected but a great read!. I was expecting a self help book on trying to be sucessful. No dont be mislead this is a book not telling you have success in your own control but rather the opposite. Its still a great book, that is written amazingly with some really relevant and interesting examples. The chapter on Bill Gates is a story I have found myself telling others about",2021-04-23,Reino Unido
Laurence,4,Well written and some good examples but I'm not sure how balanced this is,"Well written and some good examples but I'm not sure how balanced this is. This has some good stories to illustrate the points and I enjoyed it. I'm not sure how balanced it is - everything is presented as fact when I feel that there should be a counter view.  As other reviewers have said, at its heart this is something you could get across in perhaps 20 pages.  It's testament to the author that he keeps you reading and engaged with many more pages than that.",2019-09-17,Reino Unido
Cols,4,A good book,"A good book. A better read than i thought it would be.  I purchased this as the kindle daily deal and thought it might be ok but not that good, but i was wrong. It's a great book and i enjoyed it a lot.  Some great arguments on why people achieve success, hard work obviously, but luck and circumstances also key factors, as explained in book.",2017-06-19,Reino Unido
chris omoko,5,Not what I expected,Not what I expected. I had seen this title recommended by a few sources and thought I should give it a try.,2020-04-09,Reino Unido
Álvaro Nieto,5,"I definitely recommend it, it makes you at least consider if ...","I definitely recommend it, it makes you at least consider if .... Although the author Tries to make you look twice at what you thought were life's predestinations, it does so by choosing very precise close space situations and drawing conclusions from them. I would normally say it is dangerous to draw a universal law of things from such a finite number of observations.",2017-11-08,Reino Unido
Mike Brady,5,"Much more than 10,000 hours","Much more than 10,000 hours. I came to this book for it popularising the 10,000 hour theory - some say over-simplifying. I was surprised and then delighted to find that is just one reference in a book drawing together many insightful ideas to unpick the myths of what makes someone successful. The 10,000 hours theory gives us hope that any one of us can become an outlier, a success in a chosen field. But as Malcolm Gladwell reveals, there are other factors, many beyond our control, which should keep us humble if successful and tolerant of those who missed out. I look forward to reading his other books.",2021-10-09,Reino Unido
Old Running Dude,5,Really interesting book about how luck & hard work plays a key part in success,Really interesting book about how luck & hard work plays a key part in success. I found that I couldn't put this book down.,2018-07-13,Reino Unido
Stephen George,4,Enjoyable read,Enjoyable read. Having read reviews for and against the book I thought I would read it - especially as it was a Kindle special. It's an easy read and although a little repetitive I did enjoy it and do think he makes some good points. In the end it's probably a little too simplistic in its conclusions but that doesn't spoil it as a good book.,2017-07-27,Reino Unido
Stephen Smith,5,Jam-packed with interesting anecdotes,"Jam-packed with interesting anecdotes. This book is full of interesting stuff: From why one rural community in the US had amazing health to how plane crashes happen. It's main aim is to show the accidental or environmental factors that have been a major contributor to the success of certain people or groups of people. My only warning to the reader is not to believe success just comes down to luck. Even without the type of lucky circumstances Malcolm Gladwell writes about, there are still plenty of people who achieve success through belief and perseverance. (Try also reading Mindset by Carol Dweck.)",2020-02-05,Reino Unido
Amazon Customer,4,Interesting and thought provoking,Interesting and thought provoking. Pulling together multiple strands of experience and narrative into a single whole is done well. I certainly hadn't quite realised the extent to which our dates of birth affect life chances of individuals.,2018-09-24,Reino Unido
Jyldyz Re,2,A bit boring,"A bit boring. I bought this book for my middle son to read together as it was recommended to me as inspirational book. To be honest  it’s a bit boring and author goes around same subject again and again. We stoped reading midway through. I don’t know may be it is a matter of taste, but we didn’t like it.",2019-05-16,Reino Unido
TC,5,Amazing,"Amazing. The best book I have ever read. Such an amazing mix of humour, adventure and life. Interesting from the first word",2019-09-08,Reino Unido
Chris Senior,5,Why are great people great? They take the opportunities given,Why are great people great? They take the opportunities given. Great book. Easy read. Hits home his point again and again and gives many case studies of “success”.,2018-02-04,Reino Unido
Akhil B,3,Not as I had thought,Not as I had thought. The book gives good info but stories have too much of unnecessary details which I personally never liked in non-fiction. I picked this book because I wanted to know what makes outliers an outlier in their field which I eventually got but I had to read a lot many details in between. I understand to make a book like this interesting some details must be their but too much of it makes me uncomfortable. It’s a personal choice and others might find this interesting.,2020-05-17,Reino Unido
Bargain Betty,5,Fantastic (but don't read it before a flight),"Fantastic (but don't read it before a flight). The author has that unique skill of being able to view and interpret the World exactly as it is, not tinted by any preconceptions or expectations. His 10,000 hr rule, from my personal experience, is bang on. I found this book was similar in vein to Freakonomics which I also recommend, and Tipping Point has also been on my list for a while so I will definitely be reading that sometime soon.",2015-10-27,Reino Unido
giovanni,5,Will make you question who you are,"Will make you question who you are. This book will make you question who you are - where you come from, what's your legacy, and what helped you accomplish whathever you've achieved so far in your life. It will also make you ask, do I have 10,000 hours of experience in something so far? Recommended read.",2019-09-05,Reino Unido
C. Brown-quinn,4,Thinking Differently about Successful People,"Thinking Differently about Successful People. I found Malcolm Gladwell's presentation of the subject of success fascinating! He incorporated a lot of interesting research to back up his arguments about why successful people are successful. I recommend this book to anyone interested in stretching their minds past commonly held beliefs. I still maintain, however, that regardless of the circumstances you find yourself in, success isn't given even if you're offered an opportunity - you've got to take that opportunity and that's what makes successful people successful. Others have been offered opportunities, but they don't go for it. Also I would have like to have seen more stories about female success stories. Christine Brown-Quinn,The Female Capitalist (TM), Author of Step Aside Super Woman...Career & Family is for Any Woman.",2011-01-24,Reino Unido
Zaida Prieto,5,WOULD RECOMMEND,WOULD RECOMMEND. Very interesting and entertaining at the same time... I am liking this author a lot. Very well written and easy reading. It opens the readers eyes to a totally different point of view about success and society... WOULD RECOMMEND,2017-12-01,Reino Unido
James White,5,Fascinating,"Fascinating. I loved this book. At first there appear to be lots of statistics and facts but this quickly emerges as an overall theme which underpins the development of understanding generally, the ingredients which can lead to success.",2020-11-19,Reino Unido
J. Trompetas,4,It started strongly then rambled a bit,It started strongly then rambled a bit. The insights in the first part of the book about reasons for outliers were amazing but it probably would have been a better book if it had been shorter. Some of the later chapters weren’t as interesting.,2022-03-12,Reino Unido
Breese Stevens,5,An honest look at success.,"An honest look at success.. I have hope that even this late in the game of life I can forge a path to great success. This book has helped me understand that my background plays a key role in why I feel I have struggled with success as an entrepreneur. I feel inspired to collect data based on my own life, study the patterns, and give myself the chances that were absent from my familial and cultural legacies. Thank you, Malcolm Gladwell, for this meaningful gift.",2021-02-05,Reino Unido
John Mccutcheon,4,Four and a half stars,"Four and a half stars. A good book that reveals how success is more related to history and circumstance than it might at first seem,especially in cases of success that are often put down to genius.",2020-12-01,Reino Unido
Alister Cryan,4,Fascinating,"Fascinating. I enjoyed reading this book and it's study of the ""self made man""/genius myth very much.  A fascinating insight drawn from the author's personal experience and background.",2020-05-31,Reino Unido
Rosshn,5,⭐⭐⭐⭐⭐,"⭐⭐⭐⭐⭐. Easy to read book, well researched and a page turner. Uses world class examples that everyone can relate to and people who we all know.  Absolutely love it! I particularly liked all the research that went into it without it being too high brow a book. 💯",2018-05-27,Reino Unido
Working Mum,5,Good to know information,"Good to know information. Well written and made me feel better about myself for not being an ultra rich genius, just an ordinary person. Comparison is the thief of joy.",2020-07-19,Reino Unido
Ameen Hach,4,Great for inspiration and stories but lacks practical steps forward.,"Great for inspiration and stories but lacks practical steps forward.. Excellent, very insightful. I love the stories and the examples he gives. A lot of general, and inspirational knowledge to be found here and it's written well.",2016-02-11,Reino Unido
femi awos,5,A must read,A must read. A must read for anyone who is trying to achieve something great in life or trying to teach others. There is no substitute for long hard work in whatever field you choose.,2020-03-07,Reino Unido
Roger P,5,Read This,Read This. Absolutely brilliant and informative. No need to say more other than read it for yourself . Very well written and laid out,2019-10-05,Reino Unido
P,5,Gladwell always a must read,Gladwell always a must read. Very easy reading and brings together all the those things you could see but couldn't quite put your finger on.,2020-02-18,Reino Unido
Mike,5,An easy read with lots of anecdotes/stats that you will be ...,An easy read with lots of anecdotes/stats that you will be .... Really interesting pop psychology/sociology. An easy read with lots of anecdotes/stats that you will be regurgitating down the pub later.,2018-05-01,Reino Unido
Renee,5,Impossible to put down,"Impossible to put down. I highly recommend this book its such an eye opener, its hard to pin point which part is the best. You will enjoy every page.",2020-02-02,Reino Unido
DarraghD,3,Enjoyable read if a bit prosaic,"Enjoyable read if a bit prosaic. Outliers is certainly an enjoyable read that does entertain but at the end of the day the argument Gladwell puts forward is a bit on the prosaic side and is made a bit redundant at certain points. He posits some intriguing, although hardly revolutionary, concepts about the requirements for success and then reinforces them with a string of anecdotes. Although arguably one could not say that his argument is flawed or the idea he is promoting erroneous the sheer volume of statistics and anecdotes he provides in support of his thesis does not so much prove his theory as highlight how ultimately simplistic and unoriginal it really is.",2013-05-28,Reino Unido
Amazon Customer,5,Brilliant!,Brilliant!. An interesting account of some of the world greatest and those outliners that may be less known. The book was gripping from start to finish.,2017-10-14,Reino Unido
Mr DJ Mattingley,5,Great read.,"Great read.. This was an interesting book, that grabbed me from the first line.  Gladwell provides logical reasoning and sense behind his ""theory / arguments"".  Being that I work for one of the outliers he describes in this book (which I did not know prior to reading) this made it all the more interesting.  What Gladwell basically describes in this book is that intelligence is not a precursor to success, however chance, effort and other variables will help you along your way.  Worth a read and I have gone on to buy the rest of Gladwells books.",2014-07-19,Reino Unido
Roger B,4,A very thought provoking read!,A very thought provoking read!. This book was recommended to me by an education professional and although the book is several years old it has significant relevance today. Some sections were extremely interesting indeed and whilst understanding what Gladwell is trying to convey some sections were a little 'long winded' and 'too American' for my specific interest needs.,2014-11-21,Reino Unido
Crazy shopper,5,Absolutely fantastic book,"Absolutely fantastic book. One of the best books i've ever read in the thousands i've read to date, superb read and totally recommend it",2020-07-06,Reino Unido
GOLDWINGER1500,4,Some Interesting Facts,Some Interesting Facts. A very well written and well researched book looking into why certain groups of the population are more successful than others.,2021-01-11,Reino Unido
Amazon Customer,4,Insightful and interesting,"Insightful and interesting. What I enjoyed about this book is it's  straightforward and brings facts to the table, whilst explaining how the stories mentioned contributed to success.",2018-03-28,Reino Unido
ADD,5,Perhaps my book of the year 2020,"Perhaps my book of the year 2020. Reminds of Yuval Noah Harari in a way it's written: simple, informative, clever.",2021-04-21,Reino Unido
Terry,5,Very insightful,Very insightful. Excellent read and changed my views on why people perform better than others.,2022-01-14,Reino Unido
nazareno,5,"Outstanding, love every chapter","Outstanding, love every chapter. Hooked from day one, was not familiar with the author and now I understand why he keeps hitting home runs, every book is a best seller, cannot put it down.",2017-07-05,Reino Unido
Mr. A. O. Akintayo,5,Outstanding...my 2nd best book of all time,"Outstanding...my 2nd best book of all time. Outstanding....I bought a kindle edition, bought another kindle edition for my wife but i need a hard copy for my library. My 7 year old needs to read this at some point.",2020-05-28,Reino Unido
Amazon Customer,4,Amazing book,Amazing book. He develops his points in a subtle but shrewd way. Uses great examples from different areas. generally great writing as well,2019-03-07,Reino Unido
JennyB,4,Very engaging,"Very engaging. I had read Bounce (Outliers came first) and much of the same studies are repeated in this book so I skipped a lot. But if you haven't, it's a good read and really makes you think about the nature of success and talent. It would be an interesting one for a book club as it offers much to debate such as about nature/nurture, social mobility and how advantageous our beginnings are.",2014-08-07,Reino Unido
Stef,5,Great book from an excellent author,Great book from an excellent author. I love this book it shows the mechanics of success and really gets you thinking about your own successes and how to ensure your families success in the future,2019-12-31,Reino Unido
Neil S.,2,Not great... I prefer his podcasts!,"Not great... I prefer his podcasts!. Basic concept repeated over and over again in a few brief chapters - basically your background, ethnicity and when you were born have an effect on your chances of being successfull - mind blown. I love his podcasts but this book is kind of feeble, sorry.",2021-06-08,Reino Unido
Zak Kurdi,5,This book is fantastic,"This book is fantastic. I am a big fan of business literature and have read books by authors such as Jim Collins, Dale Carnegie and more.",2013-10-20,Reino Unido
pbj,3,A little drawn out !,"A little drawn out !. Very interesting but somewhat repetitive narrative , I suspect the message could have been delivered in a couple of chapters!!",2018-11-09,Reino Unido
Seth Fearey,5,A great resource for thinking about your career,"A great resource for thinking about your career. One favorite books ever.  I keeping using the stories to help students develop their career plans.  Good luck is critical, but you have to be ready to take advantage of that luck.",2017-08-20,Reino Unido
Psytech,5,Wonderfully interesting book - ok so you only see it ...,"Wonderfully interesting book - ok so you only see it .... Wonderfully interesting book - ok so you only see it from the authors view - no critical analysis in this book, but some interesting points nevertheless",2016-04-04,Reino Unido
H Eaton,5,Paradigm Shifting,Paradigm Shifting. Thoroughly impressive. Gladwell writes wonderfully and highlights the perhaps unlikely backstories of people and events we write off and successful.  Very readable and throughly recommended. I can't think of a single person who wouldn't benefit from this book.,2017-07-31,Reino Unido
Anita Haider,5,Brilliant,Brilliant. Exceptionally well-researched and beautifully written. Gladwell captures the reader from the outset to the very last word. He masters the balance between scientific writing and story- telling with just the right amount of detail.  Highly recommended.,2018-12-21,Reino Unido
Jk0666,5,Good sized book to fit in your luggage or handbag,Good sized book to fit in your luggage or handbag. Not finished this yet (40 per cent through ) but book arrived in gold quality as per Amazon standard. Interesting book about the impact of socio economic factors and luck paved the way for some of the world's most recognisably successful entrepreneurs/athletes.,2019-07-10,Reino Unido
E O,3,Inspiring book,Inspiring book. Very very good read. I just didnt like the quality of the book. Im just fussy lol,2018-12-27,Reino Unido
James Leo,5,This is an excellent book and I highly recommend it,This is an excellent book and I highly recommend it. This is an excellent book and I highly recommend it.  The insights which are constructed on top of careful research are ground breaking and shook my previous understanding of how success comes about to its very foundation.  Part one of the book entitled Opportunity is very well written and I sailed through the 5 chapters in record time.,2016-08-17,Reino Unido
M. BROWN,5,Importance of Outliers!,"Importance of Outliers!. Fantastic read, insightful, informative and made me want to read more from Gladwell! Highly recommended",2019-07-11,Reino Unido
Dan Ferris,5,Excellent,"Excellent. The book is easy to understand, explains key points with examples and gets to the point quickly. Very interesting and I look forward to reading more of his work.",2017-01-24,Reino Unido
Stefan Albers,5,Best recommendation I've had,"Best recommendation I've had. A colleague recommended this book as an interesting description of what is ""success"". Thoroughly interesting factual examples that contain concepts and notions that can be applied in professional as well as personal situations.",2015-10-30,Reino Unido
Ruth,5,Good book,Good book. Good book. Very happy with this.,2020-07-28,Reino Unido
Nga W.,3,This is not an inspirational story if you are looking for one,"This is not an inspirational story if you are looking for one. Outlier is just a product of luck and effort, but mostly luck according to the author. It feels like it’s depend on your society, community and your early education. Not sure if I like this book or not. But agree that one must work hard and work smart.",2021-02-23,Reino Unido
anne boland,5,This book isn't always easy to read (I usually read novels) but it gives ...,This book isn't always easy to read (I usually read novels) but it gives .... This book isn't always easy to read (I usually read novels) but it gives lots of food for thought. The first time I read it was about 5 years ago and it stuck in my mind so I'm reading it again.,2015-05-21,Reino Unido
bythebuy,5,Quality and timely,"Quality and timely. book is of excellent quality, arrived quickly and just as described. trusted buyer!",2016-10-15,Reino Unido
Amazon Customer,5,A great read!,"A great read!. A very interesting and thought provoking read, thoroughly enjoyable!",2018-12-30,Reino Unido
MR W COLE,5,Good service,Good service. Product was as described. I am happy with my purchase,2019-05-23,Reino Unido
Amazon Customer,5,Outliers,"Outliers. Not just a book, thought provoking and challenging especially if you have kids!  What opportunities are you creating for them and what plays to their advantage naturally due to the factors discussed in the book?  There are doubters out there who disagree with some of the concepts which is understandable, that's what the book is meant to do - make you question!",2013-07-16,Reino Unido
AprPinkBlossom,4,Good Read.,"Good Read.. Good book to read but does that means if we are in the wrong place at the wrong time, it is not much chance for the rest of us!",2016-01-24,Reino Unido
Amazon Customer,5,Very thought provoking,"Very thought provoking. Absolutely loved Outliers! Very well written and with so many fascinating points. I want to read it again to make sure I picked them all up! (Be aware that this is not a quick and easy read; it requires your full attention and time, but it's so incredibly rewarding and fulfilling!)",2017-10-02,Reino Unido
Devopser,5,A very nice read,"A very nice read. This is such a nicely written book, that I finished it only in a week. The concepts are so mind-opening and it changes your perceptions of things totally. I would highly recommend it.",2020-03-07,Reino Unido
Njål Andersen,4,Fun anecdotal book which gives pause for thought.,"Fun anecdotal book which gives pause for thought.. I enjoy reading Malcolm Gladwell, though find it important to take his writing for what it is: as an inspiration to think along his lines. His books tend to be somewhat drawn out, with long anecdotes to support his claims. Although somewhat tedious at times, they serve to help the reader remember his key points.",2011-08-31,Reino Unido
"T.C  ""Freethinker""",5,Fantastic,"Fantastic. This has to be one of the best books I have read. The author made me look at my life and that of others with a different viewpoint. I no longer beat myself about things I haven't achieved in life, I now recognise that the timing was wrong and that when it is right I must be ready and have the desire to achieve whatever it is.",2013-12-31,Reino Unido
K. Campbell,5,Incredible reading- highly recommended,Incredible reading- highly recommended. Keeping this very short but has given me a new fresh perspective on how great intelligence comes about...the key ingredient being time!,2018-03-18,Reino Unido
Jeanette ,5,A real page-turner,"A real page-turner. I was recommended this author, and I wanted to know more about how and why some people, over others, are successful and what deems 'success in life', so the combination of author and subject resulted in me not being able to book the book down.  This well known author lives up to his worthy reputation with skilful writing backed up with exhaustive research and explanations.",2014-05-23,Reino Unido
Michael Brennan,5,Excellent product,"Excellent product. Excellent product, delivered on time Thank you",2021-01-17,Reino Unido
Aybulat A.,5,Fantastic book,"Fantastic book. Lots of real-life examples, evidence-based approach, entertaining to read - what else can you ask for? I wish most of the books were written in the way this author writes.",2020-01-05,Reino Unido
Melissa Krall,4,Meh.,"Meh.. a little patronizing at times. get to the point, Gladwell!",2015-03-01,Reino Unido
Newscot,5,Intelligence does not necessarily guarantee success.,"Intelligence does not necessarily guarantee success.. This challenged many of my long held beliefs that intelligent people will reach the top of their fields, whether in industry, business or sport. So much of success in life depends on when and where you were born and opportunities offered. I will be quoting from this book often.  An excellent read.",2014-08-02,Reino Unido
Andrew,5,Five Stars,Five Stars. Love this mans books. Super engaging and so interesting. I couldnt put them down.,2018-06-01,Reino Unido
Amazon Customer,3,quality,quality. Good stuff,2020-06-15,Reino Unido
Kindle Customer,5,Excellent. Should be read by policy makers,"Excellent. Should be read by policy makers. Intriguing readable and fascinating book which shows how luck, fortune and class interplay for creating success . I'm passing this on to so many people",2018-01-08,Reino Unido
Vilma Gutridge,4,Okay,"Okay. Okay, nothing special.",2019-06-11,Reino Unido
Dolan,4,Eye opener,Eye opener. Will make you reconsider all you think you know about what leads to success. This is not a self help book it is a self awareness book. Excellent eye opening and entertaining reading.,2019-12-18,Reino Unido
Michael .O.,4,New Way to think about things,"New Way to think about things. Worth the pick. I did enjoy learning to see things through a different light. At the end of the day, achievement and success might not be as far fetched as it is made out to be.",2021-03-01,Reino Unido
Fran,5,There are a great deal more external factors in your life that you ...,There are a great deal more external factors in your life that you .... It makes you think outside the box. There are a great deal more external factors in your life that you may not be aware of.,2016-02-26,Reino Unido
Evan,5,Five Stars,Five Stars. Brilliant read,2016-05-23,Reino Unido
Alex Carroll,5,"... you stare and wonder at the images of the brilliant, the rich and famous asking yourself what life ...","... you stare and wonder at the images of the brilliant, the rich and famous asking yourself what life .... So you stare and wonder at the images of the brilliant, the rich and famous asking yourself what life would be like in their genes?",2015-04-16,Reino Unido
Alexi,4,not sure i was persuaded by some of the stories but nevertheless an interesting and easy read.,"not sure i was persuaded by some of the stories but nevertheless an interesting and easy read.. Interesting book, not sure i was persuaded by some of the stories but nevertheless an interesting and easy read.",2017-06-14,Reino Unido
Daniella Genas,5,Fascinating,Fascinating. I give this book 5 out of 5. It was riveting from start to finish and made me look at this idea of success from a totally different perspective.  The stories are emotional and compelling. I want to read it again and again.,2016-11-19,Reino Unido
NickyD,4,Received,Received. Interesting read,2019-01-09,Reino Unido
L. L. Nikitenko,5,Five Stars,Five Stars. Good product. Great book.,2018-04-08,Reino Unido
Tej Talks Podcast ,5,Great book,"Great book. Highlighted some points about success which we would never hear about or discuss, but are very important. Well written as always from Malcolm, would recommend highly as a book of interest, not so much to learn something helpful for your own life from.",2016-12-02,Reino Unido
G. Newson,5,Engaging and thought provoking read,Engaging and thought provoking read. A well written and engaging book that makes you think about people's achievements in a different light. It causes you to consider the external influences that have and might shape success.,2021-02-01,Reino Unido
Sule Wilfried Bamba,4,The secret of success,The secret of success. This book is telling the secret about success,2020-04-30,Reino Unido
Amazon Customer,5,Five Stars,Five Stars. Interesting read,2018-06-13,Reino Unido
yum,5,Putting success into context,"Putting success into context. Very thoughtful read, encouraged me to think a little differently about how I see things",2021-03-20,Reino Unido
J. Williamson,5,Five Stars,Five Stars. Compulsory reading I think!,2018-07-19,Reino Unido
Mo,5,Amazing!,Amazing!. Highly recommended for a great reflection on your life! The author gives plenty of examples to make points thus validating his theories..,2021-08-14,Reino Unido
Peter Johnston,4,Rewire your brain,Rewire your brain. This will make you rethink your life - and everyone else's. Brilliant.,2015-12-12,Reino Unido
Lily Proudfoot,5,Book you really need to read if you are interested in being successful,Book you really need to read if you are interested in being successful. For non fiction this a great read.  The facts he gives give a lot of food for thought especially with regards to whether or not  a high IQ guarantees success or do other factors affect how well you do. If you are in education or motivation you will find it really interesting. We are using it as book group book and it is sure to spark a lot of discussion!,2013-05-22,Reino Unido
