reviewer,stars,title,review,date
Michael Perkins,2,,"The term I've coined for books such as these is ""the illusion of erudition.""",2012-10-01
Henry Mishkoff,2,,"Well, it's official: Malcolm Gladwell has run out of things to say.",2008-12-26
Jonathan,3,,Here's what I,2008-12-05
Kevin,1,,1) Sloppy methodology:,2014-09-28
Amir Tesla,3,,"If you like exploring phenomenon beyond their appearance and if you enjoy story-telling writings about factual subjects, here: success",2016-10-07
Anirudh,4,,"Ever wondered why Bill Gates is so rich? Or why the Beatles is considered to be a ""once in a millennium"" band? (or why people find ""Lucy in the Sky with Diamonds"" to be so trippy, lol) Or simply, why some people are so outrageously successful while others wallow in mediocrity?",2021-06-02
Jason,3,,I skimmed this book instead of reading it. I didn’t entirely love it.,2011-05-11
seak,4,,"Outliers. Or as it should be called, ""Outliers don't exist."" I not only couldn't put it down, but my wife feels like she's read it now too.",2013-04-09
Julie,5,,"In just one week, this book transformed a relatively normal woman into someone who's been saying, ""Well, in this book I'm reading. . . you know, Outliers? Yeah, there's this section on. . . there's this part about. . . You should read this chapter. . . No, no, just wait here and let me read these 3 pages out loud for you. . . Have you read it? Oh, you haven't? Let me just show you this one page, it'll just take a minute!""",2014-01-09
Siddharth,4,,"""If only I'd read this book earlier,"" the old man sighed. He shook his head sadly. ""I was at the wrong end of the cut-off age. I'd have made a champion swimmer..."". His voice trailed off.",2013-01-12
Claudia,4,,"""Outliers"" those wildly successful people, for whom 'normal rules don't apply.' Are they just lucky, talented? Maybe...but, outliers may not be outliers after all...after reading the entire book, I was slapped by that at the very end. Gladwell looks closely at success, and those who seem to have waltzed into incredible success...Canadian hockey players, who just happened to have been born in the right month of the year; Bill Gates, who just happened to go to a school where the PTA moms bought a",2009-01-19
ScienceOfSuccess,4,,Here is my animated review!,2017-04-28
Monica,3,,"I don't know about Malcolm Gladwell. I've read 3 of his books. All of them fine, but nothing special. All of them fairly superficial with nothing original or innovative. I think his books are very pop culture and should be read in the time frame (say within a year) that they are published. Too long after that and they become stale, not prolific or prescient. Gladwell is a very good and interesting writer, but I don't think his books have much depth or staying power.",2018-12-01
Hamad,3,,✍️,2020-12-07
Alan,3,,"This one is a weird one for me to write, and I’ll explain why. Without being unnecessarily reductionist, I used to think that there were two types of reactions to Malcolm Gladwell: you either hate him or love him. This was an opinion informed by my own experiences, having finished an undergraduate degree in neuroscience and psychology (an area Gladwell lives and breathes in). Graduate students, professors, and my own peers would be quick to talk up or talk down Gladwell upon hearing the name of",2021-06-26
Tanu,5,,,2021-05-25
Kressel Housman,5,,"This has got to be Malcolm Gladwell’s best book yet, and coming from a fan like me, that’s saying something!",2008-12-11
Emma Deplores Goodreads Censorship,2,,"This is one of those books that give popular nonfiction a bad name. Which is unfortunate, because what could be better than books that both educate and entertain? But Outliers embodies everything that people who sneer at the genre are talking about: its conclusions are both obvious and simplistic, its writing persuasive but glib. It’s easy to see why Gladwell is a popular author: he’s a good storyteller, his writing accessible and entertaining. But this book is so riddled with oversimplified con",2019-07-21
Riku Sayuj,5,,My first exposure to Gladwell. SO was more or les blown away by the ideas. Have grown more conservative in acceptance of his views as I have grown familiar with his topics through other books. But still an eminently quotable book.,2011-07-14
Tatevik is on semi hiatus (trying to finish PHD),5,,"This is officially the best book of 2019. Damn it, this is the most valuable book I've ever read (Maybe I am still in a hangover, can't be sure).",2019-12-28
