,x,y
13,Highly recommended. I very much enjoyed this book. For the first part of the book I am familiar with the story of Bill Gates and Bill Joy and like millions of others we know the same story line. This book however brought home to me how much other unique (unique to them and their time) factors contributed greatly to their success. The stories about hockey players and how the slight difference in age gives the slightly older boy tremendous advantage were particularly enlightening.,1
14,"Enriching!. It was a very enlightening experience, reading the book. A worthwhile read, time well spent. I like the thorough research and conclusions reached.",1
15,"A quick read. I found this to be a very interesting view on success and successful people. The author has a very unique way of bringing forth the 'right time-right place' expression. He also provided amazing visuals within his stories, and the differences between how we are raised and where we come from. Please do remember, that having old, family money or looking good still has its advantages.",1
16,"Great!!. I love this book! I think that if you like to read about not just a wow story....but, what might be behind the wow....the 'quick' rises to fame and money etc....this book is for you. It proves that anyone can be an 'outlier'....I think it is a well thought out book and a quick read! I highly recommend!",2
17,"The Story of Other Peoples Success. Let me summarize for you: you need to have been born in a certain year to be successful. The end. Prob my fault, but I thought this was a self-hep book, rather it’s just a collection of stories of people who are successful because of the specific year they were born.",0
18,"ended up being very good. So insightful. Had to get this for class, ended up being very good. So insightful, has lots of interesting information and things to think about.",2
19,Four Stars. Interesting and thought-provoking - good read and I've used the stuff from this book in my real world.,1
20,Really good. Gladwell is a great author. His style is great and so is his information. Great book.,2
21,Three Stars. gift,0
22,Compelling book which makes you reassess achievement. This is a wonderful book which looks deeply into people who have achieved huge success and analysis what was going on. He argues that the circumstances around these people have a lot to do with their success without diminishing the hard work and intelligence they brought to their subject.,2
23,"A different way of thinking. Gladwell has made quite a name for himself with this book and his thoughts. The main message is clear, there are extenuating circumstances in ever outcome in life. He looks at how the month you were born in really affects your ability to play top notch hockey (it makes a big difference), That in and of itself may not be a big issue for you, but, by inference it may influence when you try to have children and the impact on them scholastically. I don't generally read non-fiction. This is well written and made me sit back and think about a lot of things.",2
24,"Limited review. This is a limited review since the book arrived today itself. Going by the ""Tipping Point"" by the same authoe, I hope it lives to its name and hype.",1
25,"not drinking the cool-aid. I just did not find this book that compelling, much less convincing. The author is a master at taking a series of observations and making a circumstantial case for a point, but then never critically assessing whether his assertions are correct by looking at them in some objective manner. The hypothesis is that there are random but predictable factors control our fate. So here is the problem. It is easy to look retrospectively and say, Bill gates is who he is because someone bought a computer for his 8th grade class which gave him a unique opportunity. So if that purchase was the key for bill, what happened to all his classmates and why don't we know anything about them. Another hypothesis is that its really the extent to which you practise that determines your outcome, so really successful musicians are there because they practiced more over the years. Umm, but what led them to practise so much more at an early age? The author acts like he has solved the nature vs. nurture; argument, but it is not so simple. Then ther is the statements that once you reach a certain basic level of height for basketball players or intelligence for the rest of us, that additional height or intelligence does not matter. Umm, why do BB players get measured to the millimeter at pre-NBA draft camps, and why does their stock fall if a player is found to only be 6-6, instead of 6-8, and why are there so many slow relatively clumsy 7-0 white guys sitting on rosters if height above 6-2 does not matter.",0
26,Like. I liked that this book gave a perception of that what an outlier is and also made us feel encouraged that each of us has a distinct purpose.,2
27,"A must read!. Eye opening relative revelations about age, demographics, religion, timing and luck as contributors toward success But, the common denominator is hard work. This is a great read, especially if you have young children because a parent can influence their child's success.",2
28,"A decent read. This book was well written with good examples and ideas. I enjoyed the way the author discussed the various cultures and their histories, giving the reader an insight into the hidden truths of success.",1
29,Five Stars. Excellent read!! I'm keeping this for my collection!! Definitely a worthy purchase!,2
30,Most inspirational story. This is one of the greatest and most inspiring books I've ever read. Can't say enough of about the amazing perspectives from this story. Many people both successful and not could learn a lot from a book like this.,2
31,"Not so. Outliers is a fun/interesting read. But it needs to be taken with a great deal of salt.........I just checked for the hell of it the birthdays of both hockey teams Canada and US, who just finished the Vancouver Olympics. Mr. Gladwell remarks regarding this topic is utterly false. One does NOT have to be born in Jan. or Feb. to succeed in hockey. The star Sydney Crosby was born on Aug.7th, Brooks Orpik Sept.26th, Ryan Miller July 17th, Marc Andre Fleury Nov.28th, and a famous "" oldie "" Mario Lemieux Oct.5th.........And the list goes on.......",0
32,"Not a perfect book. There are some great concepts in this book. However, I do not agree with all of the research supposedly backing these concepts. Sloppy research with few counterarguments. I wish there was more in that regard. Read it if you are deep into self development. Everyone internalizes things differently. You may reach an essentially revelation for your own respective life.",1
33,Excellent and Refreshing Look at Research and Hidden Stories and Trends. Excellent book. Had many principles I was able to look at in more depth after for graduate work. He makes some very interesting points about how outliers in data analysis and observation can actually be potentially new trends or tell the story for which the researcher is really looking. He talks about the 10K hour rule and how successes can be discovered. Classic Malcolm Gladwell. I've read it several times now.,2
34,"a call to action and recognition of what factors mark the success of great individuals. Gladwell. In the novel, Outliers: A Story of Success, Malcolm Gladwell tells various stories of success, that in a way, is manifestation, a call to action and recognition of what factors mark the success of great individuals. Gladwell, shows his findings and theory of what he thinks actually constitutes the success of greats like Albert Einstein, Bill Gates, and others from a lens that though might seem obvious is many times ignored due to the common notion and praise we give to achieving things from individual merit. With the use of his title, “Outliers,” he provides an outline, or better yet a lens, into what makes outliers—outstanding individuals, or something that is situated away from or classed differently from a main or related body—successful in the end. What many used to and still can argue is due to true talent and hard work, may be caused by a random array of circumstances that if taken advantage of are the true propeller towards success.",1
35,"Heard it was good, found it disjointed and didn't agree with many of his conclusions. Enjoyed the first few chapters but lost all interest half way through. Seemed fairly disjointed with not much organization. I disagree with some of his conclusions, and feel he has found cases that fit his theory, but thrown out others that do not.",0
36,"One of the best books I read in 2012. Malcolm Gladwell is brilliant! And the way he looks at things really makes you rethink your thinking. You wonder why you ""missed it"" for so long! It is a joyfully wonderful book. Why the people at the top are really there---10,000 hours.",2
37,Five Stars. My son loves it.,2
38,Agree to disagree.. Agree to disagree. Full of contradictions on explaining outcomes yet always defaults to collectivist solutions in hopes of utopia. Story telling is exhausting.,0
39,"Definitely worth buying. This was the first book I bought for my Kindle. Reading the reviews, I was skeptical of the book initially - as I don't buy into the concept of ""secret to success"" as one fitting formula for the general masses. But this book was different. Malcolm Gladwell took his well-researched case studies and dissected the results and the processes to present a balanced look at some of the best known successful people of our times. It was comforting to have his research confirm that success goes to people who really do work at it - although being at the right place, at the right time, and born to the right environment all help. Just as I finished the book, I was speaking to one of my colleagues, as he described the trials and tribulations of raising a star hockey player in his family. I asked him about his son's birthdate (March), and the practice times and opportunities that his son has had. It was all there. The making of a successful hockey player in Canada following the path that many NHL players before him. I recommended the book to my friend, and he was immediately fascinated. This is one book that I want in my library, as a keeper - as opposed to ones that I wish I could give back.",1
40,"Painfully Boring!!!. My opinion is that the author came up with an idea of what made some people successful and then ""backed into"" the supporting evidence. He is extremely redundant and downright boring at times. His opinions could have been summed up in a 10 page book.",0
41,Outliers. Love Malcolm Gladwell! This book arrived quickly and as described.,2
42,great read!. I always recomend this book to my friends. Malcolm Gladwell is such an interesting man and his style of writing allows for his ideas/theories to be cohesive and easily understandable.,2
43,"Very interesting and enjoyable to read.. I really enjoyed reading this book. Malcolm Gladwell includes many interesting case studies in this book, which are fascinating to read about. It is also very entertainingly written. I recommend this book to anyone wanting to learn about what makes some people successful but not others.",2
44,"so worth the read!. An amazing book that really makes you think. Buy it and read it now, trust me you wont regret your move!",2
45,"You can do it too!. A remarkable exposition of how very successful people get to their stratospheric levels. People like Bill Gates. Gladwell makes it clear that these people were not only talented and hard working, but well connected and fortunate to be born at certain times in certain cultures. Should you find yourself outside of this success loop, I recommend you next read Seth Godin's",1
46,Four Stars. So happy to have finally received this book. My only issue is that the cover is bent.,1
47,"Examination. Outliers is an exceptional examination of society as a whole - the narratives and stories we tell ourselves to identify why some in society and others have-not. The simple explanation is totally obvious and not what we would have instinctively thought. Success has nothing to do with talent, it has everything to do with the built-in advantages society, family, community, cultures give that person to make them who they are.",2
48,Five Stars. Great book!,2
49,Novel ideas!. I'm glad I finally got to read this book! Gladwell's ideas are very original and nicely articulated. The book is well structured and supplements each idea with examples and studies. Nice work!,2
50,Weird?. This book states so many different facts and theories that make you think twice about certain things barely even crossed your mind before. I do not know if the facts that these people try to prove to you are really real or not but in a weird way they all make sense. It was just okay in my part though.,0
51,Five Stars. Quick delivery and a great book to read.,2
52,"A Passel of Quotable Insights. Malcolm Gladwell is a captivating writer who looks at the world through a different lens than you and I. My wife and I read this book, and it has sparked numerous interesting discussions.",2
53,"Outliers. In Outliers, Malcolm Gladwell relates the success of hockey players, software programmers, the Beatles, geniuses, Jewish-American lawyers, pilots, Asians, and underprivileged students to being in the right place at the right time, receiving special opportunities, and working hard. According to Gladwell, outliers are ""products of history and community, of opportunity and legacy. Their success is...grounded in a web of advantages and inheritances, some deserved, some not, some earned, some just plain luck"" (285). In my opinion, Gladwell shows that outliers are not all that different from other people at the start of their careers. They are just lucky enough to come across certain opportunities throughout their lives that bring them success. In fact, Gladwell believes that outliers are not really outliers at all. ""The Matthew Effect"" is one of my favorite chapters. Throughout the chapter, Gladwell uses statistical analysis to show that athletic and educational age cut-offs greatly affect one's success. Older children in the cut-offs seem to show more ""talent"" than those who are younger, but that is only because they have had more time to develop physically and mentally. As a result, the older children are given special opportunities, which accumulate and bring success. I also like ""Rice Paddies and Math Tests."" In this section, Gladwell explains that Asians are better at math because of their language and culture. He presents many valid points. For instance, he mentions that Asian languages are shorter and more logical than Western languages so Asian children learn how to count at an earlier age than their American counterparts. Once again, this initial advantage results in an ""accumulative advantage,"" in which Asians like math more, try harder, and perform better. Although I agree with most of his arguments, Gladwell excludes any information that contradicts his points. For example, any sports fan can probably list famous athletes who were born right before the cutoff date. I personally know successful people who are the youngest on their team or in their class. I also know of non-Asian people who are excellent at math. Albert Einstein was European, yet he is remembered as a genius of mathematics and physics. Unfortunately, Gladwell does not include any of these exceptions to his rules in ""The Matthew Effect"" and ""Rice Paddies and Math Tests."" Nevertheless, I enjoyed reading Gladwell's book. Although some of the chapters moved slowly, it was a fast read overall. Gladwell's stories encouraged me to look at success from a different perspective. Living in the United States, I have been reminded all of my life about the ""American dream"" and told that as long as I work hard, I will be successful. However, as Gladwell theorizes, hard work is not the only determinant of success.",1
54,Bounce now outliers. Another fascinating insight into the story of success. I first read Bounce which roused my curiosity on success and now Outliers further provides evidence that hard work and a great amount of luck can determine future success. As a teacher and sports coach these two books have had a profound affect on my thinking and therefore my work.,2
55,Five Stars. Fabulous service really great products thank you,2
56,Intersting at its worst moments. I found the book very hard to put down and very good from the start. Very fascinating to say the least.,2
57,"What month were you born ? -a surprising analysis of high achievers. Malcolm Gladwell has taken a remarkably broad approach to try to identify if there any factors in common between 'OUTLIERS' - people whose achievements lie well beyond the normal range. His studies are as diverse as Mozart, Michael Jordan, Steve Jobs and Bill Gates. He looks at football teams and ""geniuses"". His conclusions are unexpected but compelling - lateral thinking which surprises and entertains. I couldn't stop quoting bits and recommending this book to all my friends - it may not change your life but it will give you a new insight into some possible precursors for outstanding achievement. It's an easy read - I really couldn't put it down!",2
58,"Five Stars. Malcolm's ""One, two three and a puff of smoke"" is always pithy, entertaining and informative.",2
59,"I didn't like the disguised propaganda chapter on Bill Gates. I skipped a few chapters, it was an ok read, kind of long. I didn't like the disguised propaganda chapter on Bill Gates. Don't believe his version at all. If anyone knows the history of the banking class who now control the world and the world's money, they would not skip the fact that Gates comes from this class. The PC revolution was not his doing solely, and it was probably planned. His family has been in Eugenics. His foundation disguises their real goal by putting on the face of philanthropy. I bet you this author is also one of the 'fake Jews' - if you notice, too much of our media content comes from fake Jews.",0
60,Great product! Super fast shipping!. Great product! Super fast shipping!,2
61,"Brilliant!. Though there are many controversies and some cherry picked arguments , the book is brilliant and to the point , success is hard work plus some luck ...",2
62,Socio-cultural advantages of birth time and place. The book explains the advantages that carry the place and time we are born.,0
63,"Fun anecdotal book which gives pause for thought.. I enjoy reading Malcolm Gladwell, though find it important to take his writing for what it is: as an inspiration to think along his lines. His books tend to be somewhat drawn out, with long anecdotes to support his claims. Although somewhat tedious at times, they serve to help the reader remember his key points.",1
64,"There are a few good points i the book. There are a few good points i the book, but a lot of descriptive stories, which are not quite relevant.Sometimes u feel like reading a novel",1
65,"So interesting! Would recommend. It was a great book, highly recommended",2
66,"I enjoyed it. It gave me some things to think .... I enjoyed it. It gave me some things to think about regarding success, some encouraging, some not so much. I've recommended it to friends.",1
67,"Certainly Makes You Think About Success. You will never look at someone who says they are self made the same way again. I have always been a great believer in fate...but thinking in Outlier terms, there is definitely more at play that simple fate. Factors that are simply out of your control are more determinate than your own decisions and efforts...take nothing away from those as well.",1
68,"Gladwell always delivers a unique take. I’ve listened to or read most of his books and they all strike at something that ripples under the surface of reality and guides humanity as a whole or individually. He narrates his own book extremely well. I’ve heard him on a lot of podcasts and he is great speaking in general, but also reads very well.",1
69,Great book from an excellent author. I love this book it shows the mechanics of success and really gets you thinking about your own successes and how to ensure your families success in the future,2
70,"Average book. It's not average in terms of other books, but I've read much better from Gladwell. Would recommend nonetheless based on merit of ideas",0
71,Will We Change Our Ways?. Malcolm Gladwell shows an number of ways we can improve the way we educate. We can easily increase the number of gifted students. Will we? He also shows how to eliminate the education gap between privileged students and under privileged students. Will we? Or will we just sit by and go with the status quo?,1
72,Five Stars. Great book!,2
73,"Fascinating look at what makes people successful.... I really enjoyed the diverse fields and examples from which Gladwell draws to make his points. I feel, however, that he chose very specific fields which support his theses (boom of industrial tycoons with Rockefeller, Carnegie, etc.; software titans with Gates, Jobs, etc.; and Jewish lawyers in New York). Other obscure fields likely have several very successful people from widely diverse backgrounds. Therefore, the central thesis of success being born out of support of others outside of yourself (family, culture, etc.) and opportunity seems correct. Also, I like the 10,000-hour principle he refers to significantly throughout the book as another primary thesis. A secondary thesis that success in a certain area will likely be able to tie back in to one very specific demographic is too narrowly supported and evident of confirmation bias.",1
74,Good read. Interesting stories. Makes for good conversation. It is just what you would expect from Malcolm Gladwell. Glad I read it.,1
75,First time. This is my first Gladwell book. It was OK. My friend recommended this book to me. The idea is intriguing but the style of writing did not resonate with me. Interesting observations.,0
76,Five Stars. Excellent!,2
77,Must read for anyone interested in understanding human psychology and business.. Great book and an easy read. Gladwell is a very good writer and his words just jump off the page. A must read as are the other books he has penned.,2
78,Dull. Not sure what all the hype was about... Didn't keep my interest past the 2nd chapter,0
79,"GREAT BOOK ON SUCCESS. Success and in general, human behaviour, is not an isolated incident. Malcolm goes to such great extent to explain how different circumstances had to be in place in order for a specific outcome to be achieved. Some of these are deliberate while others are unavoidable.",1
80,"Don't waste your time. In this book Gladwell just repeats himself over and over. Most of the book is quotes from others, and studies conducted by outside people. The book is a collection of other's ideas with boring and repetitive writing around it.",0
81,"Really intersting and well written. Both concise and fascinating .... Really intersting and well written. Both concise and fascinating. Am Eager to read more from this Author, especiallying Tipping Point!",2
82,"""Outliers"" Succeed or Fail. ""Outliers"" by Malcolm Gladwell is a well-written collection of studies into several areas of human activities from hockey players to air traffic controllers examining why some persons excel and others fail. While some of the author's analyses and conclusions may be open to debate, he has obviously done considerable scholarly research into a wide variety of subjects and has presented his material in a higly-readable manner.",1
83,Good way to kill a couple of days at lake reading book. Was interesting read,2
84,"A great story of how certain people succeed.. I loved how this book started out and identified what ""Outliers"" are and what made them that way, for instance, Bill Gates is an outlier because of the circumstances that existed that made it possible for him to succeed.",1
85,"Keen observations, well presented. I found this book highly interesting and entertaining. It reads very well and is a true page turner.",1
86,Important factors for people's success or non-success revealed.. This book provides a whole new outlook on how some people become successful and others don't. I read it quite a while ago and can still relate the message it contains to the success or lack thereof of people I know - even including myself.,2
87,Worth the read. All of Gladwell's books are thought provoking and insightful. Highly recommend.,2
88,Very good. This is a very good book that presents a very intresting theory. Just remeber it is a theory. It does not explain everyone:).,1
89,Interesting. I liked some of the insights and suggestions to deal with the revelations exposed in the book. It was eye opening and enjoyable.,1
90,boring book. I felt like he could say what he wanted to say in half an hour. The book basically talks about same things over and over. We know all this. Nothing new and nothing that will enrich my life.,0
91,"Ignoring the ""outliers"". Malcolm Gladwell calculates and and analyzes statistics that create a norm for the very successful; the outliers in society. The problem is that many parents are so abuzz with these patterns that they are attempting to make successes out of their children. (Darn shame happiness doesn't get factored in) Gladwell does not present statistics or examples of outliers of his formulas, of which I'm certain there are many. So this is an interesting but simplistic presentation. It is enjoyable reading. But as you read, consider the outliers of his formulas!",0
92,"Not what I expected. So, it seems that people that have success were just in the right moment, raised by the right family and were born at the appropriate time. Even the mother of the author. I can agree in some of the points made by the author; yes, those people were in certain circumstances that they took advantage of and bum! Success was the consequence. So, if you just want to hear the stories of these people and what circumstances surrounded them to be successful then go ahead and buy the book. But, and here is a breaking point, if you want to learn something of these stories to apply it to your own life and maybe also be successful, then that’s another different story, the book won’t provide it to you so easily. You have to interpret it. My interpretation is that you have to be aware of your own “circumstances”, your strengths and your advantages that life provides you, and you have to be able to take advantage of them. That’s it. If you are blind to those advantages or circumstances that you have, then you won’t catch them and you won’t be successful or don’t as successful as you could be. So open your eyes. Be aware and know what time you are living, and “see” what you have in your favor. I am not sure that Bill Gates or Steve Jobs were aware or what they have in their hands and they consciously took advantage at that time…maybe after 30 years they were able to see it, but well, that’s another discussion.",0
93,Gladwell always a must read. Very easy reading and brings together all the those things you could see but couldn't quite put your finger on.,2
94,"Bringing light to what ought to be obvious but isn't. Interesting, thought provoking and easy to read but also feels a little facile.",1
95,Fact or Fiction?. Gladwell’s great writing ability does a good job of passing off his opinions as facts.,0
96,Very interestings concepts. The ideas were very new and thought provoking. Some were logical and some were a surprise.,1
97,Came fast and in great condition.. Nothing bad to say. The book came fast and in such a great condition for the price.,2
98,"Strange Title, Fun Book. Seriously, after more than 900 reviews on this entertaining book, I doubt anyone takes time to read my opinion - however - I have one!",2
99,"Not entirely wrong.. It's almost too obvious that Mr. Gladwell made his conclusion before starting to write this book. I think he makes a great analysis, and the bit about Culture is very interesting. But his conclusion is way too extreme, almost dismissing hard work altogether, even though it's the single trait that every one of his examples have in common.",1
100,"and great for cocktail party. Malcolm Gladwell is a very entertaining writer, and great for cocktail party facts",2
101,"Gladwell Again Connects the Most Remote Dots to Chart the Extraordinary Success of a Chosen Few. Both a keen eye for shrewd observation and a sure grasp on historical evidence serve author Malcolm Gladwell fruitfully in this fascinating look at people who appeared at first to be ""outliers"" compared to mainstream society only to find themselves at the pinnacle of their fields through a symbiotic combination of talent, vision and intelligence. What made them outliers was out of their personal control, but what they make of the extraordinary opportunities they face is what sets them apart. Gladwell has already proven to be masterful at identifying social phenomena that no one else has discerned quite as lucidly, such as the source of fads and cultural changes in",1
102,"000 hours in order to really accomplish anything you love, were dreaming about all of your childhood. In my opinion, all of the teenagers should read this book. In one book Malcolm Gladwell put the years of life experiences of very successful people in this country and abroad. He showed how important to work your 10.000 hours in order to really accomplish anything you love, were dreaming about all of your childhood. You can be born a genius, but you'd accomplish nothing, if you won't work hard, but if you are working hard and long hours, the success would come to you. I appreciate meticulous, hard job Malcolm Gladwell put in this book.",2
103,Super inspiring. What a wonderful book.,2
104,"Fascinating, Fascinating, Fascinating. I read Malcolm Gladwell's ""BLINK - The Power of Thinking Without Thinking"" and enjoyed it very much!! I chose ""Outliers"" just to read something else by this author. I was not remotely disappointed - in fact found this book to be favored over the first one. I found that his ideas provided me with an understanding of ""true life success"" in a manner that I had never considered. Perception is the individual's Reality and this book changed my perception. I was personally challenged and inspired like I cannot believe. I did not give it 5 stars because if you are not a person who desires to ""stay"" with a detailed thought process, - you might find the writing tiring but my recommendation is that when you get to that point, ....just put it down and pick it up later. You won't be sorry.",1
105,It's a good book.. It's a good book. A different perspective for sure. Sometimes the author will do a little bit of stretching but I believe it was important so he coudl get his point across. Worth reading.,1
106,"Great book. Interesting, powerful, inspiring. Outliers are actually not outliers. Right. Life is not always fair, but that is why it's amazing",1
107,Three Stars. A decent enough read,0
108,Great read. Really enjoyed the book. It’s very thought provoking and in a way encouraged me to start looking for the opportunities available to be me so I can be an outlier.,2
109,"Interesting. I found this book to be stimulating. I plan to use it in my career as a teacher, as well as just in my personal relationships with friends and family. Made me look at life differently, in a good way.",1
110,Viracious and provoking reading. I found this book to be deeply thought provoking and challenging of ideas and assumptions.,2
111,"Great book! Discusses how some of the most successful .... Great book! Discusses how some of the most successful people got were they got due to what they had access to, who they knew, and being at the right place at the right time.",2
112,"A string of anecdotes doth not a theory make. This started out as an interesting book - the first Gladwell I've read - though I gave up on it halfway through. The reason being, it's written in a highly populist style, full (as far as I got) of lengthy anecdotes about individuals' life stories, which he stitches together to form an argument. But if you're arguing for what is in essence an academic theory, a bunch of increasingly tedious stories - mere anecdotal evidence - interspersed with bits of breathless journalistic reasoning just doesn't cut the mustard. So I got bored after a while and gave up.",0
113,Four Stars. This book has been completed and shared with others in my circle.,1
114,Five Stars. Very satisfied.,2
115,Great Read. I really enjoyed this book. It makes you think. Gladwell does a very good job telling stories that make his hypothesis come to light. Well worth the $10 and a quick read.,1
116,Three Stars. 1000 HOURS.... IT IS TRUE,0
117,Five Stars. Girlfriend really enjoyed it.,2
118,Thought provoking. analysis fascinating,1
119,Four Stars. Interesting insgiht around success,1
120,"Four Stars. smooth transaction, no issues, thanks",1
121,Highly recommended. Excellent,2
122,"Brash and oversimplified. About the only good thing I can say about this book is that it was a quick read. The author takes complicated issues, boils them down, and only looks at them through the perspective of his already-determined hypothesis, and removes all nuance the issues.",0
123,Four Stars. Interesting and very different.,1
124,"The sin of self regard. The subtitle could have been ""The Sin of Self Regard"". Much of who we are consist of factors completely out of our control, birth month, birth year, ethnic background and other such items. Gladwell is an expert at explaining a theme by using anecdotal stories and explaining the results by looking at the story from a different perspective.",1
125,Conditions. Great conditions,2
126,"Three Stars. The more I learn about Gladwell, the less I appreciate and respect his work.",0
127,"Gladwell's Usual Thoroughness. I am always impressed by the thoroughness of Malcolm Gladwell's research and ability to convey that into enjoyable, and insightful reading. This book attempts to convey the story behind the genius that often highlights successful people by breaking the reasons for their success down.",2
128,"Its a great book, with great ideas that are worthy of examination and discussion.. Loved this book. Gladwell does an excellent job of communicating his ideas to the reader. Each chapter can stand on its own, but many of them lend support to following chapters (giving you several ""Ah hah!"" moments).",2
129,"Outliers. Not just a book, thought provoking and challenging especially if you have kids! What opportunities are you creating for them and what plays to their advantage naturally due to the factors discussed in the book? There are doubters out there who disagree with some of the concepts which is understandable, that's what the book is meant to do - make you question!",2
130,Slightly disappointed. the quality of book is not so good and also old one. I always received good quality books from flipkart bt this book not upto the standard.,0
131,"escucha primero la entrevista. Al principio no entendía el por que del relato, la entrevista le da más sentido",1
132,"Another way to interpret data. The material in this book is interesting because it looks at data and puts a different interpretation on facts: Why crime rates are falling, the success of different cultural groups and why language rules makes some learning easier, etc. I especially enjoy listening to Malcolm Gladwell read his books--this is the third of his I've listened to. I plan to listen to all of them, his insights are noteworthy and his performance makes listening so soothing.",1
133,"Four Stars. One sided, trendy psychology line of thought. Interesting, but not a class hit.",1
134,"Thought provoking and very interesting. Reading this book has lead to a lot of reflection about myself, how I view others, and how I want to raise my children. As a Christian, it has helped to affirm the fact that we have little to no control over what happens to us, and that every success we have in life should be attributed to God.",1
135,Breaks down the successful in a practical way. Breaks down the successful in a practical way. Gives prime examples on how successful people were given extraordinary opportunity that fostered them on their journey.,1
136,Fascinating!. It really is an education on how to broaden your way of thinking.,2
137,"Inspiring and interesting. I have been quoting this book to friends on several occasions since finishing it. Or rather, since beginning to listen to it! I think that says a lot. It inspired me in the same kind of way as Freakonomics did when I read it a number of years ago. There is more reasoning in Outliers and it is more down to earth but there are similarities in how theories and models are applied to the things we all can relate to.",1
138,"Luck Not Strategy. This is a fascinating read, although not what I expected. r. Gladwell throws a lot of facts and figures, only to be told that luck may be more common than not, toward success. This was a disappointment to me and may be to others as I was hoping to find new strategies regarding success as an entrepreneur. n a nutshell, if I am in the right place at the right time, through no necessary knowledge on my part, I will get pay dirt.",0
139,"A Must Read. This is an excellent book and highly recommended for those that want to get a clear picture of how some succeed and other do not. The author points out that many factors come into play for success how ever one may define success. Success is sometime a matter of chance circumstance, rather than hard work.",2
140,"I'm Surprised This Book Is So Highly Reviewed. This book seems to me like a direct ripoff of the idea of Freakonomics. The only difference is that it's not as interesting. The book is supposed to be about identifying what creates success. The author sets out to prove that most traits of a successful person are not of their own doing but of cultural or lucky circumstances. The only point that I really like is the 10,000 hour rule which basically states that you can be an expert in something if you practice it for 10,000 hours.",0
141,Boring and Random. Not nearly as good as I was expecting. Book doesn't really seem to stay on topic and there is no cohesion between chapters. I really had to force myself to finish reading it.,0
142,"... few of Malcolm Gladwells other books - this didnt disappoint, well worth a read. Ive read Blink and wanted to try a few of Malcolm Gladwells other books - this didnt disappoint, well worth a read.",2
143,Four Stars. Great book! Malcolm always delivers a good read.,1
144,"Good but not what I was expecting. *Edit* I would recommend listening to the end interview first. It put the book more into a perspective i wish i had during the book. As I said in my comment below that the book is very respectable and brings up very interesting ""Coincidences"" that relate to background and circumstance.",0
145,"Great Read, Faded Pages. Several pages were faded beyond the point of being legible. It's worst on page 245 for me, shame the return date just passed.",0
146,"Intriguing but the research is questionable. This book is quite intriguing, but often as I listened I began to wonder about his research methodology. His facts, while compelling seem to be only part of the picture and I began to wonder as to how much picking and choosing of facts was going on to support his points. His determination to support his rather deterministic view is clear throughout the piece.",0
147,"A Classic from an Original Thinker. A master of his craft, Gladwell is a genius - he looks at things so differently to us mere mortals. Surprising he has not won more accolades, but then genius is an undervalued trait in our society these days",1
148,Four Stars. Great book!,1
