reviewer,stars,title,review,date
Claudia,4,,"""Outliers"" those wildly successful people, for whom 'normal rules don't apply.' Are they just lucky, talented? Maybe...but, outliers may not be outliers after all...after reading the entire book, I was slapped by that at the very end. Gladwell looks closely at success, and those who seem to have waltzed into incredible success...Canadian hockey players, who just happened to have been born in the right month of the year; Bill Gates, who just happened to go to a school where the PTA moms bought a","Jan 19, 2009"
ScienceOfSuccess,4,,Here is my animated review!,"Apr 28, 2017"
Monica,3,,"I don't know about Malcolm Gladwell. I've read 3 of his books. All of them fine, but nothing special. All of them fairly superficial with nothing original or innovative. I think his books are very pop culture and should be read in the time frame (say within a year) that they are published. Too long after that and they become stale, not prolific or prescient. Gladwell is a very good and interesting writer, but I don't think his books have much depth or staying power.","Dec 01, 2018"
Hamad,3,,✍️,"Dec 07, 2020"
Alan,3,,"This one is a weird one for me to write, and I’ll explain why. Without being unnecessarily reductionist, I used to think that there were two types of reactions to Malcolm Gladwell: you either hate him or love him. This was an opinion informed by my own experiences, having finished an undergraduate degree in neuroscience and psychology (an area Gladwell lives and breathes in). Graduate students, professors, and my own peers would be quick to talk up or talk down Gladwell upon hearing the name of","Jun 26, 2021"
Tanu,5,,,"May 25, 2021"
Kressel Housman,5,,"This has got to be Malcolm Gladwell’s best book yet, and coming from a fan like me, that’s saying something!","Dec 11, 2008"
Emma Deplores Goodreads Censorship,2,,"This is one of those books that give popular nonfiction a bad name. Which is unfortunate, because what could be better than books that both educate and entertain? But Outliers embodies everything that people who sneer at the genre are talking about: its conclusions are both obvious and simplistic, its writing persuasive but glib. It’s easy to see why Gladwell is a popular author: he’s a good storyteller, his writing accessible and entertaining. But this book is so riddled with oversimplified con","Jul 21, 2019"
Riku Sayuj,5,,My first exposure to Gladwell. SO was more or les blown away by the ideas. Have grown more conservative in acceptance of his views as I have grown familiar with his topics through other books. But still an eminently quotable book.,"Jul 14, 2011"
Tatevik is on semi hiatus (trying to finish PHD),5,,"This is officially the best book of 2019. Damn it, this is the most valuable book I've ever read (Maybe I am still in a hangover, can't be sure).","Dec 28, 2019"
